Unknowns in Biomolecules table (lipidomics platform)				Compound discoverer (3.1) - discovery metabolomics database search results matching to unknowns																										
biomolecule_id	standardized_name	omics_id	keep	Name	Formula	Annotation.Source..Predicted.Compositions	Annotation.Source..mzCloud.Search	Annotation.Source..mzVault.Search	Annotation.Source..ChemSpider.Search	m/z	Ion	Molecular Weight	Retention time (min)	Area maximum	Number of ChemSpider Results	Number of mzCloud Results	Number of mzVault Results	Number of KEGG Pathways	KEGG Pathways	mzCloud Best Match	mzVault Best Match	mzVault Library Match  Bamba lab 34 lipid mediators library stepped NCE 10 30 45	mzVault Library Match  Bamba lab 598 polar metabolites stepped NCE 10 30 45	mzVault Library Match  Customer_Library_ESI_WatersAmideHILIC_HCD_20200102_YYZ	mzVault Library Match  KI GIAR_zic HILIC_Pos_v0 90_814 entries_20200213	mzVault Library Match  MassBank_60770 entries_20200213	mzVault Library Match  Fiehn HILIC_3061 entries_20200213	mzVault Library Match  Combined_79246Pos_36055Neg_MassBank_20200213	mzCloud Best Sim  Match	MS2
1337	Unknown_mz_321.13312_+_RT_5.226	2	1	Mycophenolic acid	C17 H20 O6	Full match	Full match	Full match	Full match	321.13312	[M+H]+1	320.12573	5.228	322383446.5	15	2	70	1	Other	94.5	97	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1353	Unknown_mz_593.33405_-_RT_5.252	2	1	Stercobilin	C33 H46 N4 O6	Full match	No results	Full match	Partial match	593.33405	[M-H]-1	594.34191	5.254	172430243.3	1	0	2	1	Porphyrin and chlorophyll metabolism	NA	87.2	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1388	Unknown_mz_211.09682_-_RT_5.286	2	1	NP-020205	C11 H16 O4	Full match	Full match	No results	Not the top hit	211.09682	[M-H]-1	212.10407	5.287	8323769.358	5	1	0	4	Biosynthesis of secondary metabolites;Metabolic pathways;Other	71.4	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
1399	Unknown_mz_384.17404_+_RT_5.325	2	1	Quetiapine	C21 H25 N3 O2 S	Not the top hit	Full match	Full match	Full match	384.17404	[M+H]+1	383.16655	5.327	43254148.41	1	1	8	0		92.5	91.7	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
1421	Unknown_mz_535.19739_+_RT_5.437	2	1	Piperacillin	C23 H27 N5 O7 S	Not the top hit	No results	Full match	Full match	535.19733	[M+NH4]+1	517.16312	5.44	1894696752	1	0	3	0		NA	82.7	No matches found	No matches found	No matches found	No matches found	Single match found	No matches found	Multiple matches found	NA	DDA for preferred ion
1423	Unknown_mz_518.17078_+_RT_5.443	2	1	Piperacillin	C23 H27 N5 O7 S	Not the top hit	No results	Full match	Full match	518.17078	[M+H]+1	517.16312	5.44	1894696752	1	0	3	0		NA	82.7	No matches found	No matches found	No matches found	No matches found	Single match found	No matches found	Multiple matches found	NA	DDA for preferred ion
1478	Unknown_mz_255.15892_+_RT_5.582	2	1	"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one"	C14 H22 O4	Full match	Full match	Full match	No match	255.15892	[M+H]+1	254.15166	5.584	33790859.54	1	1	3	0		67.6	38.3	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1665	Unknown_mz_585.27045_+_RT_6.001	2	1	Bilirubin	C33 H36 N4 O6	Full match	Full match	Full match	Full match	585.27081	[M+H]+1	584.26343	6.001	51117370.38	7	1	2	4	Biosynthesis of secondary metabolites;Metabolic pathways;Bile secretion;Porphyrin and chlorophyll metabolism	66.7	62.9	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1666	Unknown_mz_387.18405_-_RT_6.008	2	1	"[9b-hydroxy-6-(hydroxymethyl)-6,9a-dimethyl-3-oxo-1,3a,4,5,5a,7,8,9-octahydrobenzo[e][2]benzofuran-5-yl] benzoate"	C22 H28 O6	No match	No results	Full match	Partial match	387.18405	[M-H]-1	388.19152	6.009	8263924.983	13	0	3	0		NA	43.3	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1692	Unknown_mz_223.09703_-_RT_6.088	2	1	Olivetolcarboxylic acid	C12 H16 O4	Full match	No results	Full match	Partial match	223.09703	[M-H]-1	224.10423	6.089	66402758.44	15	0	1	3	Biosynthesis of secondary metabolites;Metabolic pathways;Other	NA	75.1	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
1706	Unknown_mz_585.27057_+_RT_6.12	2	1	Bilirubin	C33 H36 N4 O6	Not the top hit	Full match	Full match	Full match	585.27057	[M+H]+1	584.2636	6.121	102877266.2	7	1	3	4	Biosynthesis of secondary metabolites;Metabolic pathways;Bile secretion;Porphyrin and chlorophyll metabolism	78.2	73.3	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1707	Unknown_mz_583.25635_-_RT_6.12	2	1	Bilirubin	C33 H36 N4 O6	Not the top hit	Full match	Full match	Full match	583.25635	[M-H]-1	584.2636	6.121	102877266.2	7	1	3	4	Biosynthesis of secondary metabolites;Metabolic pathways;Bile secretion;Porphyrin and chlorophyll metabolism	78.2	73.3	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1709	Unknown_mz_464.30142_-_RT_6.126	2	1	Glycohyocholic acid	C26 H43 N O6	Not the top hit	No results	Full match	Partial match	464.30142	[M-H]-1	465.30887	6.128	25397970.45	5	0	16	5	Metabolic pathways;Bile secretion;Other	NA	65.4	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1786	Unknown_mz_335.22122_+_RT_6.328	2	1	"4-[2-[(1R,4aS,5R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one"	C20 H30 O4	Full match	No results	Full match	Partial match	335.22122	[M+H]+1	334.21391	6.331	30638030.73	32	0	17	5	Biosynthesis of secondary metabolites;Metabolic pathways;Arachidonic acid metabolism;Diterpenoid biosynthesis;Serotonergic synapse	NA	48	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1811	Unknown_mz_464.30099_-_RT_6.406	2	1	Glycocholic Acid	C26 H43 N O6	Not the top hit	No results	Full match	Partial match	464.30099	[M-H]-1	465.30837	6.407	20333835.03	5	0	4	5	Metabolic pathways;Bile secretion;Other	NA	68.9	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1844	Unknown_mz_585.27057_+_RT_6.523	2	1	Bilirubin	C33 H36 N4 O6	Full match	No results	Full match	Partial match	585.27057	[M+H]+1	584.26381	6.524	3861858.328	7	0	2	4	Biosynthesis of secondary metabolites;Metabolic pathways;Bile secretion;Porphyrin and chlorophyll metabolism	NA	52.9	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
1848	Unknown_mz_225.14864_+_RT_6.532	2	1	NP-007909	C13 H20 O3	Full match	Full match	Not the top hit	Partial match	225.14864	[M+H]+1	224.14134	6.526	7306937.487	14	1	5	2	Biosynthesis of secondary metabolites;Other	72.4	35.9	No matches found	Single match found	No matches found	No matches found	No matches found	Single match found	Multiple matches found	NA	DDA for preferred ion
1971	Unknown_mz_233.11057_+_RT_6.876	2	1	N-Cyclohexyl-2-benzothiazol-amine	C13 H16 N2 S	Full match	No results	Full match	Partial match	233.11057	[M+H]+1	232.10328	6.879	10280387.32	1	0	14	6	Biosynthesis of secondary metabolites;Metabolic pathways;Other	NA	95.9	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2023	Unknown_mz_466.31567_+_RT_6.985	2	1	GLYCOCHOLATE	C26 H43 N O6	Not the top hit	No results	Full match	Partial match	466.31567	[M+H]+1	465.3087	6.988	1941713491	5	0	4	5	Metabolic pathways;Bile secretion;Other	NA	42.9	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2026	Unknown_mz_353.23288_-_RT_6.986	2	1	6?-Prostaglandin I1	C20 H34 O5	Full match	Full match	Full match	Partial match	353.23288	[M-H]-1	354.24004	6.989	126201408.2	26	4	3	8	Metabolic pathways;Bile secretion;Arachidonic acid metabolism;Serotonergic synapse;Other	76	54.7	Single match found	No matches found	No matches found	No matches found	Single match found	No matches found	Single match found	NA	DDA for preferred ion
2029	Unknown_mz_337.23691_+_RT_6.987	2	1	Prostaglandin B1	C20 H32 O4	Full match	Full match	Not the top hit	Full match	337.23691	[M+H]+1	336.2296	6.994	95378595.89	51	1	10	9	Metabolic pathways;Bile secretion;Arachidonic acid metabolism;Serotonergic synapse;Other	74.9	59.7	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2034	Unknown_mz_412.28378_+_RT_6.988	2	1	PF-1052_130138	C26 H39 N O4	Full match	No results	Full match	Partial match	412.28378	[M+H-H2O]+1	429.28672	6.988	80355053.64	1	0	1	0		NA	35.4	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
2039	Unknown_mz_375.21359_+_RT_6.99	2	1	Methylprednisolone	C22 H30 O5	Not the top hit	No results	Full match	Full match	375.21359	[M+H]+1	374.20632	6.994	43546020.04	4	0	34	0		NA	73.5	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2055	Unknown_mz_279.0932_+_RT_7.01	2	1	Sulfamethazine	C12 H14 N4 O2 S	Not the top hit	Full match	No match	Full match	279.0932	[M+H]+1	278.08589	7.011	7231522.024	2	1	21	0		62.2	67.1	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2072	Unknown_mz_285.07889_+_RT_7.065	2	1	Diazepam	C16 H13 Cl N2 O	Not the top hit	Full match	Full match	Full match	285.07889	[M+H]+1	284.07155	7.067	27255136.25	2	2	47	9	Biosynthesis of secondary metabolites;Metabolic pathways;Biosynthesis of phenylpropanoids;Other	84.3	70.2	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
2076	Unknown_mz_375.21695_-_RT_7.075	2	1	Resolvin D3	C22 H32 O5	Full match	No results	Full match	Partial match	375.21695	[M-H]-1	376.22449	7.079	7417552.484	21	0	20	0		NA	86.5	Multiple matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2093	Unknown_mz_517.33057_+_RT_7.1	2	1	Taurochenodeoxycholic acid	C26 H45 N O6 S	Not the top hit	Full match	No results	Full match	517.33057	[M+NH4]+1	499.29653	7.103	582447614.9	4	1	0	4	Bile secretion;Other	80.9	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2094	Unknown_mz_498.28909_-_RT_7.101	2	1	Taurochenodeoxycholic acid	C26 H45 N O6 S	Not the top hit	Full match	No results	Full match	498.28909	[M-H]-1	499.29653	7.103	582447614.9	4	1	0	4	Bile secretion;Other	80.9	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2125	Unknown_mz_285.07889_+_RT_7.177	2	1	Diazepam	C16 H13 Cl N2 O	Not the top hit	Full match	Full match	Full match	285.07889	[M+H]+1	284.07156	7.178	35274007.25	2	2	46	9	Biosynthesis of secondary metabolites;Metabolic pathways;Biosynthesis of phenylpropanoids;Other	88.4	71.5	No matches found	No matches found	No matches found	No matches found	Multiple matches found	Multiple matches found	Multiple matches found	NA	DDA for preferred ion
2176	Unknown_mz_327.14063_+_RT_7.245	2	1	Clozapine	C18 H19 Cl N4	No match	Full match	No results	Full match	327.14063	[M+H]+1	326.13354	7.246	30546528.6	7	1	0	0		60.7	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2208	Unknown_mz_498.28918_-_RT_7.35	2	1	Taurodeoxycholate	C26 H45 N O6 S	No match	No results	Full match	Partial match	498.28918	[M-H]-1	499.29663	7.352	115000154.9	4	0	18	4	Bile secretion;Other	NA	67.9	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2299	Unknown_mz_399.23804_+_RT_7.569	2	1	NCGC00381146-01!2-[5-[2-[2-[5-(2-oxopropyl)oxolan-2-yl]propanoyloxy]butyl]oxolan-2-yl]propanoic acid	C21 H34 O7	Not the top hit	No results	Full match	No results	399.23727	[M+H]+1	398.23	7.57	14109258.92	0	0	1	0		NA	33.1	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Single match found	NA	DDA for preferred ion
2337	Unknown_mz_450.32126_+_RT_7.749	2	1	Glycoursodeoxycholic acid	C26 H43 N O5	Not the top hit	Full match	No results	Full match	450.32126	[M+H]+1	449.314	7.751	1955265194	6	1	0	4	Bile secretion;Other	64.1	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2345	Unknown_mz_467.34787_+_RT_7.752	2	1	Glycoursodeoxycholic acid	C26 H43 N O5	Not the top hit	Full match	No results	Full match	467.34787	[M+NH4]+1	449.314	7.751	1955265194	6	1	0	4	Bile secretion;Other	64.1	NA	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	NA	DDA for preferred ion
2350	Unknown_mz_327.21741_-_RT_7.763	2	1	FA 18:2+3O	C18 H32 O5	Full match	No results	Full match	Partial match	327.21741	[M-H]-1	328.22455	7.764	17168424.78	4	0	2	1	Arachidonic acid metabolism	NA	39.8	No matches found	No matches found	No matches found	No matches found	Single match found	No matches found	Single match found	NA	DDA for preferred ion
2404	Unknown_mz_585.27045_+_RT_8.017	2	1	Bilirubin	C33 H36 N4 O6	Full match	Full match	Full match	Full match	585.27045	[M+H]+1	584.26373	8.018	32156138.02	7	1	3	4	Biosynthesis of secondary metabolites;Metabolic pathways;Bile secretion;Porphyrin and chlorophyll metabolism	78.9	77	No matches found	No matches found	No matches found	No matches found	No matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
2414	Unknown_mz_230.24794_+_RT_8.057	2	1	"N,N-Dimethyldodecylamine N-oxide"	C14 H31 N O	Full match	No results	Full match	No results	230.24794	[M+H]+1	229.24062	8.058	154577283.8	0	0	10	0		NA	74.1	No matches found	No matches found	No matches found	No matches found	Multiple matches found	No matches found	Multiple matches found	NA	DDA for preferred ion
