biomolecule_id	standardized_name	biomolecule_type		Log2(COVID-19/non-COVID-19)	q_value for COVID-19 association	q_value for HFD-45 association	Elastic_Net_coefficient predicting HFD-45
8202	 GPLD1 	protein		-0.504679603	0.009036708	5.98E-07	0.057518865
7970	 BCHE 	protein		-0.452046283	0.001552509	3.30E-05	0.312504093
7905	 APOA1 	protein		-0.450093784	3.81E-05	1.43E-06	0.483267858
7923	 ALB 	protein		-0.432042541	4.63E-08	1.19E-05	0.160272569
7826	 APOM 	protein		-0.362035299	0.035199771	2.28E-07	0.413340437
8252	 ECM1 	protein		-0.310335743	0.006610796	0.001035053	0.15291754
7781	 KLKB1 	protein		-0.193362216	0.030651023	1.09E-07	0.435232799
7989	 C8G 	protein		0.145459111	0.013076187	0.017800055	-0.441730808
7776	 MST1 	protein		0.161206359	0.04820524	0.026985977	-0.098536094
8218	 ITIH3 	protein		0.255952432	0.044932581	1.87E-05	-0.346023685
8088	 ORM2 	protein		0.257467157	0.040420708	0.00061564	-0.227766699
7976	 C2 	protein		0.269104237	0.001439107	0.003377604	-0.462359468
7847	 F10 	protein		0.294541606	0.00065651	0.029143396	-0.135211217
8157	 MASP1 	protein		0.295345572	0.015503196	0.003086374	-0.272511669
7634	 GPX3 	protein		0.299141511	0.022892507	0.002503611	-0.339600458
7920	 ORM1 	protein		0.303405578	0.002752907	1.35E-05	-0.008759937
7727	 ITIH4 	protein		0.307932168	0.002276011	0.000236896	-0.099977398
7856	 AGT 	protein		0.400810946	0.005428332	2.40E-06	-0.349413157
7855	 SERPI3 	protein		0.413154431	0.000307741	5.16E-09	-0.208327831
7874	P01706	protein		0.438108279	0.047058504	0.001178341	-0.286188029
7677	 IGHV4-61 	protein		0.499790497	0.005942847	0.032342154	-0.041423676
7994	 HSP90AA1 	protein		0.537625601	0.004209945	0.001114567	-0.092739455
8095	 CPN2 	protein		0.544118034	1.75E-06	0.000584424	-0.094382208
7619	 IGKV3D-15 	protein		0.560456364	0.001898332	0.000359693	-0.101327982
7772	 SERPI3 	protein		0.593962403	0.004398199	7.55E-07	-0.336656819
7669	 IGHV1-18 	protein		0.609556433	0.003067127	0.013451001	-0.001732911
7873	P01703	protein		0.619253658	0.00890659	0.000310816	-0.259967308
7649	 IGHV3-15 	protein		0.624203888	0.012091723	0.001063375	-0.210864576
7775	 FBLN5 	protein		0.62880035	0.031266888	1.78E-05	-0.26504148
8059	 LCP1 	protein		0.664437126	0.000158705	4.75E-09	-0.111578761
7880	P01742	protein		0.789524801	0.004521556	0.033667131	-0.156543552
7949	"
IGKV1D-39"	protein		0.886193704	0.000747911	0.000340814	-0.132211374
8221	 LGALS3BP 	protein		0.981401097	2.31E-05	0.030627891	-0.107334222
8123	 TKT 	protein		1.030518684	0.011289391	0.00024643	-0.47935313
8062	 NID1 	protein		1.085243374	0.013526292	1.63E-05	-0.46764225
7678	A0A0C4DH43;A0A0J9YVU5	protein		1.121031175	0.01199708	0.001812421	-0.597137126
8023	 SAA2 	protein		1.279312068	0.023845392	0.000123009	-0.041979639
7973	IGHV4-34	protein		1.369152887	0.000382344	0.000254195	-0.049785136
7977	 S100A9 	protein		1.512231806	0.018982473	2.56E-07	-0.233546999
7955	 S100A8 	protein		1.532195964	0.003452101	1.44E-08	-0.08933032
7930	 FTL 	protein		1.678331281	0.034358682	4.48E-05	-0.085594571
8030	IGHV4-38-2	protein		1.736869301	0.008365084	0.026310279	-0.176153665
7886	IGHV3-53	protein		1.78870393	0.002484937	0.014968082	-0.018199067
7744	 SFTPB 	protein		2.065640875	2.92E-09	3.31E-06	-0.301492303
25787	TPPP3	transcript		-2.2	1.19E-09	4.41E-07	0.023800485
18754	NAPSA	transcript		-1.466	0.000232799	0.000375907	5.82E-05
25137	TGM3	transcript		-1.463	3.98E-06	0.000229594	0.005752355
11555	CLEC10A	transcript		-1.422	0.002546852	3.25E-07	0.100203058
19544	OLFM1	transcript		-1.393	0.003526698	3.67E-06	0.011325052
21494	PRSS33	transcript		-1.393	6.81E-07	0.000133452	0.074633866
10845	CCL3L1	transcript		-1.379	0.003384648	0.008810311	0.051206475
13988	FCER1A	transcript		-1.324	0.005523824	7.38E-07	0.197542423
22589	RPLP2	transcript		-1.275	0.001163444	0.01414099	0.001787834
14950	GPR162	transcript		-1.241	0.032064563	2.75E-05	0.042586005
17803	MATK	transcript		-1.235	0.006156056	2.98E-05	0.037665341
15300	HAAO	transcript		-1.225	0.000145468	0.002496526	0.025862778
22547	RPL18A	transcript		-1.206	0.001067428	0.012124988	8.00E-06
9227	APRT	transcript		-1.19	0.000577496	0.009654129	0.008229119
24510	STMN3	transcript		-1.181	0.000762709	0.00029854	0.018855295
14198	FOLR2	transcript		-1.174	1.29E-05	0.001215854	0.00879458
27376	ZNF385A	transcript		-1.132	0.001550805	0.000197033	0.025986231
22166	REX1BD	transcript		-1.123	0.001698607	0.008605734	0.004644371
12046	CSF1R	transcript		-1.078	0.030221516	3.21E-06	0.066154334
25124	TGFBI	transcript		-1.047	0.008039088	5.97E-07	0.136266972
24043	SORBS3	transcript		-0.977	0.011986032	3.38E-07	0.027651815
14153	FLT3LG	transcript		-0.957	0.006701568	0.000128841	0.000985347
8970	AMPD2	transcript		-0.879	0.004551696	0.032780633	0.007370525
14225	FOXH1	transcript		-0.861	0.02124327	0.013981479	0.016045141
26664	VPREB3	transcript		-0.842	0.042113873	0.0004191	0.027529537
23522	SLC25A29	transcript		-0.803	0.043929833	0.041970934	0.000921
16731	KLRB1	transcript		-0.783	0.043137411	1.41E-05	0.016510775
23097	SEPTIN9	transcript		-0.768	0.037098664	6.47E-05	0.001499872
13138	EEF2	transcript		-0.634	0.006288494	0.003946206	0.005366917
15780	HVCN1	transcript		-0.556	0.024153215	8.87E-06	0.037350599
9417	ARRB1	transcript		-0.529	0.002038475	3.63E-07	0.014640291
22243	RHAG	transcript		0.597	8.55E-06	1.00E-06	-0.035951183
21512	PRTN3	transcript		0.978	3.46E-07	8.58E-05	-0.015843622
11388	CHIT1	transcript		0.997	2.91E-06	2.15E-07	-0.145409226
13393	EPAS1	transcript		1.005	0.010240635	6.05E-09	-0.008324042
13001	DUSP13	transcript		1.037	0.026495061	1.38E-07	-0.079714566
17591	MACIR	transcript		1.161	0.000651285	3.42E-07	-0.026730982
9054	ANKRD34B	transcript		1.187	1.07E-05	0.019141556	-0.014227059
17041	LCN2	transcript		1.219	9.01E-07	1.24E-06	-0.084950426
22382	RNASE3	transcript		1.248	2.70E-08	5.97E-07	-0.127169959
18405	MS4A3	transcript		1.257	1.55E-09	9.36E-06	-0.001041592
10945	CD24	transcript		1.275	4.96E-09	5.29E-07	-0.032858173
13061	E2F1	transcript		1.296	2.83E-07	2.24E-06	-0.016717464
22376	RNASE1	transcript		1.368	0.016835274	0.002909892	-0.056783184
24964	TCN1	transcript		1.443	3.52E-09	1.79E-07	-0.068951047
23124	SERPINB10	transcript		1.462	4.82E-06	3.96E-06	-0.02178531
9968	BPI	transcript		1.551	1.06E-09	2.82E-06	-0.074366071
17689	MAOA	transcript		1.648	1.42E-05	3.40E-06	-0.000649687
18260	MPO	transcript		1.664	1.00E-09	4.76E-06	-0.060534556
20355	PCOLCE2	transcript		1.678	0.001608047	2.28E-07	-0.040184303
12177	CTSG	transcript		1.921	1.00E-09	0.000206144	-0.033419472
10861	CCNA1	transcript		1.997	1.00E-09	4.47E-08	-0.108003136
11167	CEACAM8	transcript		2.232	1.00E-09	6.26E-06	-0.041290263
12536	DEFA4	transcript		2.245	1.00E-09	7.59E-05	-0.044750805
19547	OLFM4	transcript		2.369	3.46E-05	3.48E-05	-0.057110947
18189	MMP8	transcript		2.534	1.00E-09	9.34E-07	-0.156506193
12533	DEFA1	transcript		2.558	1.00E-09	4.95E-05	-0.188342234
6973	Unknown_mz_1237.15637_+_RT_31.741	Unidentified small molecule		-1.593901904	0.001861049	7.09E-06	0.049025239
6978	Unknown_mz_1313.18799_+_RT_31.758	Unidentified small molecule		-1.170514436	0.006195833	3.38E-07	0.069088564
6851	Unknown_mz_1316.12708_+_RT_31.134	Unidentified small molecule		-1.128239138	0.017360041	0.02891261	0.000652136
4613	Unknown_mz_766.57397_+_RT_23.16	Unidentified small molecule		-1.117264818	9.81E-05	3.20E-06	0.085574285
2234	Unknown_mz_512.33411_+_RT_7.409	Unidentified small molecule		-1.068933591	0.015790228	7.53E-05	0.085890693
668	Unknown_mz_379.06863_-_RT_1.512	Unidentified small molecule		-0.874940867	0.003855017	5.46E-07	0.041004982
2404	Unknown_mz_585.27045_+_RT_8.017	Unidentified small molecule		-0.813036123	0.027879734	0.000287295	0.026215756
2455	Unknown_mz_585.27045_+_RT_8.273	Unidentified small molecule		-0.807710156	0.019302843	0.000563537	0.009140677
4619	Unknown_mz_868.60736_-_RT_23.168	Unidentified small molecule		-0.746792912	0.033133933	0.0001951	0.013672317
4379	Unknown_mz_764.55688_+_RT_22.388	Unidentified small molecule		-0.577370541	0.022038655	0.000229594	0.082054157
5482	Unknown_mz_832.66467_+_RT_24.906	Unidentified small molecule		-0.551665449	0.011466582	0.000378105	0.009571013
177	unknown RT 18.560954	Unidentified small molecule		-0.497670596	0.009781879	0.001083874	0.718925742
2467	Unknown_mz_257.17542_-_RT_8.317	Unidentified small molecule		-0.460557841	0.000131294	0.009213001	0.023037042
4961	Unknown_mz_906.63446_-_RT_23.875	Unidentified small molecule		-0.451829546	0.025051815	0.000840823	0.0260176
1971	Unknown_mz_233.11057_+_RT_6.876	Unidentified small molecule		-0.21125443	0.006894703	0.003579816	0.021369111
431	Unknown_mz_293.09747_+_RT_1.342	Unidentified small molecule		-0.06906795	0.009813821	0.007520156	0.110189565
1344	Unknown_mz_384.04681_-_RT_5.24	Unidentified small molecule		0.018275932	0.003777154	0.00054172	-0.030786536
1348	Unknown_mz_386.06143_+_RT_5.244	Unidentified small molecule		0.049794877	0.016192284	0.000447769	-0.048487743
4261	Unknown_mz_494.10547_-_RT_22.054	Unidentified small molecule		0.288811075	0.036052197	0.002351531	-0.024664293
4255	Unknown_mz_762.50519_+_RT_22.048	Unidentified small molecule		0.362622969	0.004985108	5.30E-05	-0.054965668
5478	Unknown_mz_756.35364_-_RT_24.901	Unidentified small molecule		0.376257433	0.002920278	0.000356469	-0.021794212
1000	Unknown_mz_560.11444_+_RT_4.073	Unidentified small molecule		0.381248304	0.017976674	0.000340938	-0.026130741
1001	Unknown_mz_558.09973_-_RT_4.073	Unidentified small molecule		0.428671334	0.022203238	0.000375411	-0.026145096
5602	Unknown_mz_772.51385_-_RT_25.135	Unidentified small molecule		0.45486556	0.010614604	0.002120848	-0.015644775
3952	Unknown_mz_782.53455_-_RT_20.952	Unidentified small molecule		0.495228368	0.042469042	0.000295755	-0.032405948
7185	Unknown_mz_699.60602_+_RT_32.778	Unidentified small molecule		0.505806898	0.016572496	0.01022502	-0.019377069
2049	Unknown_mz_548.2337_+_RT_7.003	Unidentified small molecule		0.533004268	0.039721372	0.000103802	-0.014296165
2176	Unknown_mz_327.14063_+_RT_7.245	Unidentified small molecule		0.588042165	0.029025365	7.76E-07	-0.087321656
4682	Unknown_mz_888.4668_-_RT_23.248	Unidentified small molecule		0.601242312	0.03356994	0.000234369	-0.04649437
4056	Unknown_mz_555.44122_-_RT_21.219	Unidentified small molecule		0.609568935	0.009926694	0.001510374	-0.01176007
1736	Unknown_mz_553.18915_+_RT_6.211	Unidentified small molecule		0.629736651	0.022072003	1.03E-05	-0.036117183
1940	Unknown_mz_637.35675_+_RT_6.757	Unidentified small molecule		0.632575956	0.025133794	6.41E-06	-0.057403648
4749	Unknown_mz_732.55328_+_RT_23.412	Unidentified small molecule		0.634084226	0.011929776	0.001135697	-0.014048096
1057	Unknown_mz_506.16876_+_RT_4.424	Unidentified small molecule		0.643891806	0.009999951	4.83E-06	-0.018911356
4191	Unknown_mz_832.54907_-_RT_21.804	Unidentified small molecule		0.646360069	0.023325987	0.026860388	-0.001390213
2126	Unknown_mz_399.13907_+_RT_7.183	Unidentified small molecule		0.6793868	0.001279782	6.03E-05	-0.05994052
4478	Unknown_mz_574.47827_-_RT_22.734	Unidentified small molecule		0.683872996	0.00081271	0.005840015	-0.017312927
4986	Unknown_mz_692.45221_-_RT_23.905	Unidentified small molecule		0.684707472	0.007264982	0.001360785	-0.01896639
5502	Unknown_mz_630.54327_-_RT_24.92	Unidentified small molecule		0.698229128	0.001109251	0.005755276	-0.04927957
4517	Unknown_mz_904.59216_-_RT_22.847	Unidentified small molecule		0.703957559	0.027554766	0.006167548	-0.042593117
1199	Unknown_mz_308.11621_+_RT_4.916	Unidentified small molecule		0.707849489	0.003505508	2.08E-06	-0.066787252
1590	Unknown_mz_273.07901_+_RT_5.853	Unidentified small molecule		0.734461852	0.009383277	7.26E-06	-0.030427959
1645	Unknown_mz_496.01746_-_RT_5.962	Unidentified small molecule		0.737328918	0.014925514	2.94E-05	-0.007753336
4269	Unknown_mz_738.50385_+_RT_22.063	Unidentified small molecule		0.77842625	0.000147833	2.43E-06	-0.042602633
1735	Unknown_mz_551.17395_-_RT_6.21	Unidentified small molecule		0.792131265	0.015115774	4.59E-06	-0.05641884
5616	Unknown_mz_337.27344_+_RT_25.198	Unidentified small molecule		0.822459064	0.01839345	0.008916535	-0.042852937
2156	Unknown_mz_467.15268_-_RT_7.227	Unidentified small molecule		0.829095935	0.049852597	2.97E-06	-0.063204295
1720	Unknown_mz_349.95889_-_RT_6.159	Unidentified small molecule		0.840314387	0.004560405	4.18E-06	-0.02972375
2143	Unknown_mz_785.24414_+_RT_7.219	Unidentified small molecule		0.847949005	0.00401679	1.10E-05	-0.042824409
1304	Unknown_mz_388.19608_+_RT_5.18	Unidentified small molecule		0.854696023	0.00440505	2.04E-05	-0.015090272
2051	Unknown_mz_529.19226_-_RT_7.004	Unidentified small molecule		0.854785362	0.035341705	9.69E-06	-0.036888546
1937	Unknown_mz_632.40179_+_RT_6.756	Unidentified small molecule		0.857192112	0.018590978	5.97E-07	-0.052153707
1552	Unknown_mz_399.12878_-_RT_5.738	Unidentified small molecule		0.887922154	0.006072535	9.46E-06	-0.020401577
1377	Unknown_mz_643.24255_-_RT_5.275	Unidentified small molecule		0.888139983	0.034039537	9.69E-06	-0.012446475
1224	Unknown_mz_418.17029_+_RT_5.022	Unidentified small molecule		0.88869723	0.001470527	9.98E-06	-0.035061119
1644	Unknown_mz_494.02023_-_RT_5.961	Unidentified small molecule		0.908863411	0.006100061	1.84E-05	-0.001413749
1364	Unknown_mz_432.15057_-_RT_5.265	Unidentified small molecule		0.928042977	0.002321702	2.48E-06	-0.044827979
5669	Unknown_mz_708.61444_-_RT_25.443	Unidentified small molecule		0.96046298	9.63E-05	0.000516494	-0.098581674
1494	Unknown_mz_405.13147_-_RT_5.625	Unidentified small molecule		0.969667868	0.005587869	2.34E-05	-0.000114365
1692	Unknown_mz_223.09703_-_RT_6.088	Unidentified small molecule		0.992877259	0.029958322	4.59E-06	-0.036690933
2333	Unknown_mz_369.94077_-_RT_7.706	Unidentified small molecule		1.006301018	0.004106228	0.000288513	-0.000580518
4673	Unknown_mz_603.53595_+_RT_23.238	Unidentified small molecule		1.019489474	0.000632253	2.05E-05	-0.021563124
1424	Unknown_mz_440.13779_-_RT_5.443	Unidentified small molecule		1.026043848	0.01277857	3.75E-06	-0.010176507
2332	Unknown_mz_367.94373_-_RT_7.706	Unidentified small molecule		1.044007954	0.003508546	0.000231924	-0.001605795
7013	Unknown_mz_928.83258_+_RT_31.884	Unidentified small molecule		1.095526753	3.11E-05	0.002503611	-0.019049254
4807	Unknown_mz_685.55902_+_RT_23.564	Unidentified small molecule		1.126236159	0.001338418	0.025064282	-0.008622597
1381	Unknown_mz_437.14285_-_RT_5.276	Unidentified small molecule		1.137489722	0.000443177	2.21E-06	-0.049672987
1018	Unknown_mz_431.11887_-_RT_4.204	Unidentified small molecule		1.148881215	0.001123627	9.13E-06	-0.034081503
1350	Unknown_mz_529.99689_-_RT_5.25	Unidentified small molecule		1.1621995	0.000429347	6.89E-06	-0.048060653
2170	Unknown_mz_864.41992_-_RT_7.232	Unidentified small molecule		1.170819353	0.013292427	1.51E-06	-0.057585932
4722	Unknown_mz_827.66437_+_RT_23.35	Unidentified small molecule		1.228277133	0.000793961	0.015955068	-0.03038478
5805	Unknown_mz_1293.1665_+_RT_25.932	Unidentified small molecule		1.231162287	0.001594644	0.000307184	-0.065624839
4721	Unknown_mz_871.65485_-_RT_23.349	Unidentified small molecule		1.263283992	0.000537888	0.009261292	-0.060476151
1379	Unknown_mz_761.30078_-_RT_5.276	Unidentified small molecule		1.279754346	0.001397822	9.08E-06	-0.008704337
2157	Unknown_mz_453.08536_-_RT_7.227	Unidentified small molecule		1.32951655	0.003558082	3.38E-06	-0.056341899
2003	Unknown_mz_205.08607_-_RT_6.954	Unidentified small molecule		1.339208718	0.002344628	5.51E-05	-0.014174024
1385	Unknown_mz_407.12833_-_RT_5.279	Unidentified small molecule		1.348017841	0.001160568	2.14E-06	-0.036112505
2163	Unknown_mz_760.24139_-_RT_7.23	Unidentified small molecule		1.383936152	0.002847883	2.97E-06	-0.047277103
1363	Unknown_mz_308.11621_+_RT_5.265	Unidentified small molecule		1.506736051	0.00052563	6.95E-07	-0.050099341
1197	Unknown_mz_289.07495_-_RT_4.915	Unidentified small molecule		1.594089521	0.000165441	3.38E-07	-0.071736478
4265	Unknown_mz_1454.01819_-_RT_22.058	Unidentified small molecule		1.734001431	0.000254559	0.000116987	-0.000398949
1165	Unknown_mz_449.11169_-_RT_4.82	Unidentified small molecule		1.736923445	0.000324694	4.29E-07	-0.081663943
1367	Unknown_mz_659.23773_-_RT_5.268	Unidentified small molecule		1.779455718	0.004337032	3.16E-06	-0.019845684
1378	Unknown_mz_739.31799_-_RT_5.276	Unidentified small molecule		2.326477319	0.001027411	3.14E-06	-0.025309737
2066	Unknown_mz_353.15997_-_RT_7.041	Unidentified small molecule		2.329578114	0.00765893	2.65E-07	-0.074096336
2149	Unknown_mz_372.20126_+_RT_7.226	Unidentified small molecule		2.330484824	0.003146198	4.41E-07	-0.061444248
2148	Unknown_mz_353.15997_-_RT_7.226	Unidentified small molecule		2.656376084	0.005791263	2.56E-07	-0.064112655
