	translatome	tran_name	tran_annotation	tran_category	proteome	prot_name	prot_annotation	prot_category	correlation
12	Q03701				P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.964214386724192
13	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9641225811676991
14	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.96322774848412
15	Q9Y281				P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.96320435846232
16	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.9631988788109781
17	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9629612424225749
18	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.962953275513216
19	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9619069403079009
20	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.960884171532701
21	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.960805262049104
22	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.959694810153172
23	Q9Y281				Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.9584948329197859
24	Q9Y281				P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.957073284186117
25	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9570287782404691
26	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.956807100787962
27	Q9Y281				P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.956746073796811
28	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.956049434865744
29	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9553995849094491
30	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.954847174352757
31	Q96A33				P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9542725186361909
32	Q03701				P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.953952850857859
33	P30040				Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	0.953747748214284
34	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.952661846713503
35	Q5T6V5				P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9518700745665641
36	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	O15162				0.9511964090595191
37	Q9Y281				Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		0.9508935244806228
38	Q9Y281				P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9500438863288609
39	Q96A33				P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.947384359610301
40	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		O15162				0.9472236782144029
41	Q03701				O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	0.944121297063479
42	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9435853134054608
43	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		O15162				0.943423770315119
44	Q5T6V5				P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9431335317156141
45	Q5T6V5				P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9427597941830309
46	Q5T6V5				P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.941336451628886
47	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9407505574761391
48	Q96A33				P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.9405809165996241
49	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9390518981781609
50	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	0.938057707841434
51	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.9379873340545269
52	Q03701				Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.9373480593033969
53	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9371593103118829
54	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9368245716481179
55	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.936492273385229
56	Q5T6V5				Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.9352663094276221
57	Q03701				P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.934941026280912
58	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.934169958273515
59	Q5T6V5				O15162				0.934030102681016
60	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9327104555985992
61	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9325232099253349
62	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		O15162				0.9315746743065859
63	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.931282863225375
64	Q5T6V5				Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		0.930632261024946
65	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9302399094318878
66	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9300038930565709
67	P30040				P31321	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit;PRKAR1B;ortholog		0.9299770204428179
68	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	0.929762401524236
69	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9292735698838229
70	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	0.928929434013186
71	Q9Y281				P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9280747265593959
72	Q03701				P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.927248773442683
73	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.927008293417141
74	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.926869381830827
75	P05787	KRT8	Keratin		P15260	IFNGR1	Interferon gamma receptor 1;IFNGR1;ortholog	transmembrane signal receptor(PC00197)	0.9262022067389521
76	P21291	CSRP1	Cysteine and glycine-rich protein 1;CSRP1;ortholog	actin or actin-binding cytoskeletal protein(PC00041)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9261350264216851
77	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		0.925878239091841
78	Q96A33				P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9258522608587809
79	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		O15162				0.925401414440792
80	Q03701				P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9253686241125059
81	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		0.9251250466513989
82	Q03701				Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.9245821177295871
83	P30040				Q7KZ85	SUPT6H	Transcription elongation factor SPT6;SUPT6H;ortholog	general transcription factor(PC00259)	0.9243713047337251
84	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.924023561601408
85	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.9232078163661529
86	Q03701				Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		0.921290163163075
87	Q9Y281				O15162				0.920349808974861
88	Q96A33				P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.920172961384724
89	Q96A33				P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.920081419507583
90	Q96A33				O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	0.919856065967871
91	P30040				O75127				0.919680122558407
92	Q5T6V5				Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.9196026336091809
93	Q96A33				Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.9194124113819658
94	Q5T6V5				P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.918722099979205
95	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	0.9179078762513779
96	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	0.9178706929700359
97	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.916759561288496
98	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9159623226733922
99	Q5T6V5				P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.915854585677174
100	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.91528733273439
101	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P0DTC3		Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.9150863186849729
102	Q96A33				Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		0.914643030750593
103	Q5T6V5				P0DTC9		Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	0.913738320446883
